heave,adjusted_roll,steered_angle,Inner Wheel,Outer Wheel,camber_change
-1,1.25,0,2.43,0.75,-2.15
-0.75,1.25,0,2.06,0.34,-1.82
-0.5,1.25,0,1.67,0.07,-1.48
-0.25,1.25,0,1.28,0.49,-1.14
0,1.25,0,0.88,0.91,-0.78
0.25,1.25,0,0.48,1.35,-0.42
0.5,1.25,0,0.06,1.79,-0.06
0.75,1.25,0,0.36,2.24,0.32
1,1.25,0,0.79,2.7,0.7
1.25,1.25,0,1.22,3.17,1.09
1.5,1.25,0,1.67,3.64,1.49
1.75,1.25,0,2.12,4.13,1.9
2,1.25,0,2.58,4.63,2.32
-2,1,0,3.74,2.47,-3.29
-1.75,1,0,3.38,2.09,-2.98
-1.5,1,0,3.02,1.71,-2.66
-1.25,1,0,2.65,1.32,-2.34
-1,1,0,2.27,0.92,-2.01
-0.75,1,0,1.89,0.52,-1.68
-0.5,1,0,1.5,0.11,-1.33
-0.25,1,0,1.11,0.31,-0.99
0,1,0,0.71,0.73,-0.63
0.25,1,0,0.3,1.16,-0.27
0.5,1,0,0.12,1.6,0.1
0.75,1,0,0.54,2.05,0.48
1,1,0,0.97,2.5,0.87
1.25,1,0,1.41,2.97,1.26
1.5,1,0,1.86,3.44,1.67
1.75,1,0,2.31,3.92,2.08
2,1,0,2.78,4.42,2.5
-2,0.75,0,3.58,2.63,-3.16
-1.75,0.75,0,3.22,2.26,-2.84
-1.5,0.75,0,2.86,1.88,-2.52
-1.25,0.75,0,2.48,1.49,-2.2
-1,0.75,0,2.11,1.1,-1.87
-0.75,0.75,0,1.72,0.7,-1.53
-0.5,0.75,0,1.33,0.29,-1.18
-0.25,0.75,0,0.94,0.12,-0.83
0,0.75,0,0.53,0.54,-0.47
0.25,0.75,0,0.12,0.97,-0.11
0.5,0.75,0,0.3,1.41,0.27
0.75,0.75,0,0.72,1.85,0.65
1,0.75,0,1.16,2.31,1.04
1.25,0.75,0,1.6,2.77,1.43
1.5,0.75,0,2.05,3.24,1.84
1.75,0.75,0,2.51,3.72,2.26
2,0.75,0,2.98,4.21,2.68
-2,0.5,0,3.43,2.79,-3.02
-1.75,0.5,0,3.06,2.42,-2.71
-1.5,0.5,0,2.7,2.04,-2.38
-1.25,0.5,0,2.32,1.66,-2.06
-1,0.5,0,1.94,1.27,-1.72
-0.75,0.5,0,1.56,0.87,-1.38
-0.5,0.5,0,1.16,0.47,-1.03
-0.25,0.5,0,0.76,0.06,-0.68
0,0.5,0,0.36,0.36,-0.32
0.25,0.5,0,0.06,0.79,0.05
0.5,0.5,0,0.48,1.22,0.43
0.75,0.5,0,0.91,1.66,0.81
1,0.5,0,1.34,2.11,1.21
1.25,0.5,0,1.79,2.57,1.61
1.5,0.5,0,2.24,3.04,2.02
1.75,0.5,0,2.71,3.51,2.44
2,0.5,0,3.18,4,2.87
-2,0.25,0,3.27,2.95,-2.88
-1.75,0.25,0,2.9,2.58,-2.57
-1.5,0.25,0,2.53,2.21,-2.24
-1.25,0.25,0,2.16,1.83,-1.91
-1,0.25,0,1.78,1.44,-1.57
-0.75,0.25,0,1.39,1.04,-1.23
-0.5,0.25,0,0.99,0.64,-0.88
-0.25,0.25,0,0.59,0.23,-0.52
0,0.25,0,0.18,0.18,-0.16
0.25,0.25,0,0.24,0.6,0.21
0.5,0.25,0,0.66,1.03,0.59
0.75,0.25,0,1.09,1.47,0.98
1,0.25,0,1.53,1.92,1.38
1.25,0.25,0,1.98,2.37,1.78
1.5,0.25,0,2.44,2.83,2.19
1.75,0.25,0,2.91,3.31,2.62
2,0.25,0,3.38,3.79,3.05
-2,0,0,3.11,3.11,-2.75
-1.75,0,0,2.74,2.74,-2.43
-1.5,0,0,2.37,2.37,-2.1
-1.25,0,0,1.99,1.99,-1.77
-1,0,0,1.61,1.61,-1.43
-0.75,0,0,1.22,1.22,-1.08
-0.5,0,0,0.82,0.82,-0.73
-0.25,0,0,0.41,0.41,-0.37
0,0,0,0,0,0
0.25,0,0,0.42,0.42,0.37
0.5,0,0,0.85,0.85,0.76
0.75,0,0,1.28,1.28,1.15
1,0,0,1.72,1.72,1.55
1.25,0,0,2.18,2.18,1.96
1.5,0,0,2.64,2.64,2.37
1.75,0,0,3.11,3.11,2.8
2,0,0,3.59,3.59,3.24
-2,-0.25,0,2.95,3.27,-2.61
-1.75,-0.25,0,2.58,2.9,-2.28
-1.5,-0.25,0,2.21,2.53,-1.96
-1.25,-0.25,0,1.83,2.16,-1.62
-1,-0.25,0,1.44,1.78,-1.28
-0.75,-0.25,0,1.04,1.39,-0.93
-0.5,-0.25,0,0.64,0.99,-0.57
-0.25,-0.25,0,0.23,0.59,-0.21
0,-0.25,0,0.18,0.18,0.16
0.25,-0.25,0,0.6,0.24,0.54
0.5,-0.25,0,1.03,0.66,0.92
0.75,-0.25,0,1.47,1.09,1.32
1,-0.25,0,1.92,1.53,1.72
1.25,-0.25,0,2.37,1.98,2.13
1.5,-0.25,0,2.83,2.44,2.55
1.75,-0.25,0,3.31,2.91,2.98
2,-0.25,0,3.79,3.38,3.42
-2,-0.5,0,2.79,3.43,-2.47
-1.75,-0.5,0,2.42,3.06,-2.14
-1.5,-0.5,0,2.04,2.7,-1.81
-1.25,-0.5,0,1.66,2.32,-1.47
-1,-0.5,0,1.27,1.94,-1.13
-0.75,-0.5,0,0.87,1.56,-0.77
-0.5,-0.5,0,0.47,1.16,-0.42
-0.25,-0.5,0,0.06,0.76,-0.05
0,-0.5,0,0.36,0.36,0.32
0.25,-0.5,0,0.79,0.06,0.7
0.5,-0.5,0,1.22,0.48,1.09
0.75,-0.5,0,1.66,0.91,1.49
1,-0.5,0,2.11,1.34,1.9
1.25,-0.5,0,2.57,1.79,2.31
1.5,-0.5,0,3.04,2.24,2.73
1.75,-0.5,0,3.51,2.71,3.17
2,-0.5,0,4,3.18,3.61
-2,-0.75,0,2.63,3.58,-2.33
-1.75,-0.75,0,2.26,3.22,-2
-1.5,-0.75,0,1.88,2.86,-1.66
-1.25,-0.75,0,1.49,2.48,-1.32
-1,-0.75,0,1.1,2.11,-0.97
-0.75,-0.75,0,0.7,1.72,-0.62
-0.5,-0.75,0,0.29,1.33,-0.26
-0.25,-0.75,0,0.12,0.94,0.11
0,-0.75,0,0.54,0.53,0.49
0.25,-0.75,0,0.97,0.12,0.87
0.5,-0.75,0,1.41,0.3,1.26
0.75,-0.75,0,1.85,0.72,1.66
1,-0.75,0,2.31,1.16,2.07
1.25,-0.75,0,2.77,1.6,2.49
1.5,-0.75,0,3.24,2.05,2.92
1.75,-0.75,0,3.72,2.51,3.36
2,-0.75,0,4.21,2.98,3.8
-2,-1,0,2.47,3.74,-2.18
-1.75,-1,0,2.09,3.38,-1.85
-1.5,-1,0,1.71,3.02,-1.51
-1.25,-1,0,1.32,2.65,-1.17
-1,-1,0,0.92,2.27,-0.82
-0.75,-1,0,0.52,1.89,-0.46
-0.5,-1,0,0.11,1.5,-0.1
-0.25,-1,0,0.31,1.11,0.27
0,-1,0,0.73,0.71,0.65
0.25,-1,0,1.16,0.3,1.04
0.5,-1,0,1.6,0.12,1.43
0.75,-1,0,2.05,0.54,1.84
1,-1,0,2.5,0.97,2.25
1.25,-1,0,2.97,1.41,2.67
1.5,-1,0,3.44,1.86,3.1
1.75,-1,0,3.92,2.31,3.54
2,-1,0,4.42,2.78,3.99
-2,-1.25,0,2.3,3.89,-2.04
-1.75,-1.25,0,1.92,3.53,-1.71
-1.5,-1.25,0,1.54,3.17,-1.37
-1.25,-1.25,0,1.15,2.81,-1.02
-1,-1.25,0,0.75,2.43,-0.67
-0.75,-1.25,0,0.34,2.06,-0.31
-0.5,-1.25,0,0.07,1.67,0.06
-0.25,-1.25,0,0.49,1.28,0.44
0,-1.25,0,0.91,0.88,0.82
0.25,-1.25,0,1.35,0.48,1.21
0.5,-1.25,0,1.79,0.06,1.61
0.75,-1.25,0,2.24,0.36,2.01
1,-1.25,0,2.7,0.79,2.43
1.25,-1.25,0,3.17,1.22,2.85
1.5,-1.25,0,3.64,1.67,3.29
1.75,-1.25,0,4.13,2.12,3.73
2,-1.25,0,4.63,2.58,4.19
-2,-1.5,0,2.14,4.04,-1.89
-1.75,-1.5,0,1.76,3.69,-1.56
-1.5,-1.5,0,1.37,3.33,-1.21
-1.25,-1.5,0,0.97,2.97,-0.87
-1,-1.5,0,0.57,2.6,-0.51
-0.75,-1.5,0,0.16,2.22,-0.15
-0.5,-1.5,0,0.25,1.84,0.22
-0.25,-1.5,0,0.67,1.45,0.6
0,-1.5,0,1.1,1.05,0.99
0.25,-1.5,0,1.54,0.65,1.38
0.5,-1.5,0,1.98,0.24,1.78
0.75,-1.5,0,2.44,0.18,2.19
1,-1.5,0,2.9,0.6,2.61
1.25,-1.5,0,3.37,1.03,3.04
1.5,-1.5,0,3.85,1.48,3.48
1.75,-1.5,0,4.34,1.92,3.93
2,-1.5,0,4.84,2.38,4.38
-2,-1.75,0,1.97,4.19,-1.75
-1.75,-1.75,0,1.59,3.84,-1.41
-1.5,-1.75,0,1.2,3.49,-1.06
-1.25,-1.75,0,0.8,3.12,-0.71
-1,-1.75,0,0.39,2.76,-0.35
-0.75,-1.75,0,0.02,2.38,0.01
-0.5,-1.75,0,0.43,2,0.39
-0.25,-1.75,0,0.86,1.62,0.77
0,-1.75,0,1.29,1.22,1.16
0.25,-1.75,0,1.73,0.82,1.55
0.5,-1.75,0,2.18,0.42,1.96
0.75,-1.75,0,2.63,0,2.37
1,-1.75,0,3.1,0.42,2.79
1.25,-1.75,0,3.57,0.85,3.23
1.5,-1.75,0,4.06,1.29,3.67
1.75,-1.75,0,4.55,1.73,4.12
2,-1.75,0,5.06,2.19,4.58
-2,-2,0,1.8,4.34,-1.6
-1.75,-2,0,1.42,3.99,-1.26
-1.5,-2,0,1.02,3.64,-0.91
-1.25,-2,0,0.62,3.28,-0.55
-1,-2,0,0.22,2.92,-0.19
-0.75,-2,0,0.2,2.54,0.18
-0.5,-2,0,0.62,2.17,0.55
-0.25,-2,0,1.04,1.78,0.94
0,-2,0,1.48,1.39,1.33
0.25,-2,0,1.92,1,1.73
0.5,-2,0,2.37,0.59,2.13
0.75,-2,0,2.83,0.18,2.55
1,-2,0,3.3,0.24,2.98
1.25,-2,0,3.78,0.66,3.41
1.5,-2,0,4.27,1.1,3.86
1.75,-2,0,4.76,1.54,4.31
2,-2,0,5.27,1.99,4.78
-2,2,0.174532925,4.81,3.29,-3.82
-1.75,2,0.174532925,4.52,3.06,-3.52
-1.5,2,0.174532925,4.23,2.86,-3.21
-1.25,2,0.174532925,3.95,2.7,-2.9
-1,2,0.174532925,3.68,2.59,-2.58
-0.75,2,0.174532925,3.42,2.55,-2.25
-0.5,2,0.174532925,3.18,2.56,-1.92
-0.25,2,0.174532925,2.96,2.65,-1.58
0,2,0.174532925,2.78,2.8,-1.24
0.25,2,0.174532925,2.64,3.01,-0.89
0.5,2,0.174532925,2.55,3.27,-0.53
0.75,2,0.174532925,2.52,3.58,-0.16
1,2,0.174532925,2.57,3.92,0.21
1.25,2,0.174532925,2.68,4.29,0.6
1.5,2,0.174532925,2.85,4.68,0.99
1.75,2,0.174532925,3.09,5.1,1.39
2,2,0.174532925,3.37,5.55,1.8
-2,1.75,0.174532925,4.68,3.39,-3.69
-1.75,1.75,0.174532925,4.4,3.15,-3.38
-1.5,1.75,0.174532925,4.11,2.94,-3.07
-1.25,1.75,0.174532925,3.83,2.77,-2.76
-1,1.75,0.174532925,3.57,2.63,-2.44
-0.75,1.75,0.174532925,3.31,2.56,-2.11
-0.5,1.75,0.174532925,3.08,2.55,-1.78
-0.25,1.75,0.174532925,2.88,2.61,-1.44
0,1.75,0.174532925,2.71,2.73,-1.09
0.25,1.75,0.174532925,2.59,2.92,-0.73
0.5,1.75,0.174532925,2.53,3.16,-0.37
0.75,1.75,0.174532925,2.53,3.44,0
1,1.75,0.174532925,2.61,3.77,0.38
1.25,1.75,0.174532925,2.75,4.13,0.76
1.5,1.75,0.174532925,2.95,4.51,1.16
1.75,1.75,0.174532925,3.2,4.92,1.56
2,1.75,0.174532925,3.5,5.36,1.97
-2,1.5,0.174532925,4.56,3.51,-3.56
-1.75,1.5,0.174532925,4.27,3.26,-3.25
-1.5,1.5,0.174532925,3.99,3.03,-2.94
-1.25,1.5,0.174532925,3.72,2.84,-2.62
-1,1.5,0.174532925,3.45,2.69,-2.3
-0.75,1.5,0.174532925,3.21,2.58,-1.97
-0.5,1.5,0.174532925,2.99,2.54,-1.63
-0.25,1.5,0.174532925,2.8,2.57,-1.29
0,1.5,0.174532925,2.65,2.67,-0.94
0.25,1.5,0.174532925,2.56,2.83,-0.58
0.5,1.5,0.174532925,2.52,3.05,-0.21
0.75,1.5,0.174532925,2.56,3.31,0.16
1,1.5,0.174532925,2.66,3.62,0.54
1.25,1.5,0.174532925,2.82,3.97,0.93
1.5,1.5,0.174532925,3.05,4.34,1.33
1.75,1.5,0.174532925,3.32,4.75,1.73
2,1.5,0.174532925,3.64,5.17,2.15
-2,1.25,0.174532925,4.43,3.62,-3.43
-1.75,1.25,0.174532925,4.15,3.36,-3.12
-1.5,1.25,0.174532925,3.87,3.13,-2.8
-1.25,1.25,0.174532925,3.6,2.92,-2.48
-1,1.25,0.174532925,3.35,2.75,-2.16
-0.75,1.25,0.174532925,3.11,2.62,-1.82
-0.5,1.25,0.174532925,2.9,2.55,-1.48
-0.25,1.25,0.174532925,2.73,2.55,-1.14
0,1.25,0.174532925,2.6,2.62,-0.78
0.25,1.25,0.174532925,2.53,2.75,-0.42
0.5,1.25,0.174532925,2.53,2.95,-0.05
0.75,1.25,0.174532925,2.59,3.19,0.32
1,1.25,0.174532925,2.72,3.49,0.71
1.25,1.25,0.174532925,2.91,3.82,1.1
1.5,1.25,0.174532925,3.16,4.18,1.5
1.75,1.25,0.174532925,3.45,4.57,1.91
2,1.25,0.174532925,3.78,4.99,2.33
-2,1,0.174532925,4.31,3.74,-3.29
-1.75,1,0.174532925,4.03,3.47,-2.98
-1.5,1,0.174532925,3.75,3.23,-2.66
-1.25,1,0.174532925,3.49,3.01,-2.34
-1,1,0.174532925,3.24,2.82,-2.01
-0.75,1,0.174532925,3.02,2.67,-1.68
-0.5,1,0.174532925,2.82,2.58,-1.33
-0.25,1,0.174532925,2.67,2.54,-0.98
0,1,0.174532925,2.57,2.58,-0.63
0.25,1,0.174532925,2.52,2.69,-0.26
0.5,1,0.174532925,2.55,2.85,0.11
0.75,1,0.174532925,2.64,3.08,0.48
1,1,0.174532925,2.8,3.36,0.87
1.25,1,0.174532925,3.01,3.67,1.27
1.5,1,0.174532925,3.28,4.02,1.67
1.75,1,0.174532925,3.59,4.4,2.08
2,1,0.174532925,3.93,4.81,2.51
-2,0.75,0.174532925,4.19,3.86,-3.16
-1.75,0.75,0.174532925,3.91,3.59,-2.84
-1.5,0.75,0.174532925,3.64,3.33,-2.53
-1.25,0.75,0.174532925,3.38,3.1,-2.2
-1,0.75,0.174532925,3.14,2.89,-1.87
-0.75,0.75,0.174532925,2.93,2.73,-1.53
-0.5,0.75,0.174532925,2.75,2.61,-1.18
-0.25,0.75,0.174532925,2.62,2.55,-0.83
0,0.75,0.174532925,2.54,2.56,-0.47
0.25,0.75,0.174532925,2.53,2.63,-0.11
0.5,0.75,0.174532925,2.58,2.77,0.27
0.75,0.75,0.174532925,2.7,2.98,0.65
1,0.75,0.174532925,2.88,3.23,1.04
1.25,0.75,0.174532925,3.12,3.53,1.44
1.5,0.75,0.174532925,3.41,3.87,1.85
1.75,0.75,0.174532925,3.73,4.24,2.26
2,0.75,0.174532925,4.09,4.63,2.69
-2,0.5,0.174532925,4.06,3.98,-3.02
-1.75,0.5,0.174532925,3.79,3.71,-2.71
-1.5,0.5,0.174532925,3.52,3.44,-2.38
-1.25,0.5,0.174532925,3.27,3.2,-2.06
-1,0.5,0.174532925,3.05,2.98,-1.72
-0.75,0.5,0.174532925,2.85,2.79,-1.38
-0.5,0.5,0.174532925,2.69,2.65,-1.03
-0.25,0.5,0.174532925,2.58,2.57,-0.68
0,0.5,0.174532925,2.53,2.55,-0.32
0.25,0.5,0.174532925,2.54,2.59,0.05
0.5,0.5,0.174532925,2.62,2.71,0.43
0.75,0.5,0.174532925,2.77,2.88,0.82
1,0.5,0.174532925,2.98,3.12,1.21
1.25,0.5,0.174532925,3.24,3.4,1.61
1.5,0.5,0.174532925,3.54,3.72,2.02
1.75,0.5,0.174532925,3.88,4.08,2.44
2,0.5,0.174532925,4.25,4.46,2.87
-2,0.25,0.174532925,3.94,4.11,-2.89
-1.75,0.25,0.174532925,3.67,3.82,-2.57
-1.5,0.25,0.174532925,3.41,3.55,-2.24
-1.25,0.25,0.174532925,3.17,3.3,-1.91
-1,0.25,0.174532925,2.96,3.07,-1.57
-0.75,0.25,0.174532925,2.77,2.87,-1.23
-0.5,0.25,0.174532925,2.63,2.71,-0.88
-0.25,0.25,0.174532925,2.55,2.6,-0.52
0,0.25,0.174532925,2.52,2.55,-0.16
0.25,0.25,0.174532925,2.57,2.56,0.21
0.5,0.25,0.174532925,2.68,2.65,0.59
0.75,0.25,0.174532925,2.85,2.8,0.98
1,0.25,0.174532925,3.08,3.01,1.38
1.25,0.25,0.174532925,3.36,3.27,1.78
1.5,0.25,0.174532925,3.68,3.58,2.2
1.75,0.25,0.174532925,4.03,3.92,2.62
2,0.25,0.174532925,4.42,4.3,3.06
-2,0,0.174532925,3.82,4.23,-2.75
-1.75,0,0.174532925,3.56,3.95,-2.43
-1.5,0,0.174532925,3.31,3.67,-2.1
-1.25,0,0.174532925,3.07,3.41,-1.77
-1,0,0.174532925,2.87,3.17,-1.43
-0.75,0,0.174532925,2.71,2.95,-1.08
-0.5,0,0.174532925,2.59,2.77,-0.73
-0.25,0,0.174532925,2.53,2.64,-0.37
0,0,0.174532925,2.53,2.56,0
0.25,0,0.174532925,2.61,2.55,0.38
0.5,0,0.174532925,2.74,2.6,0.76
0.75,0,0.174532925,2.94,2.73,1.15
1,0,0.174532925,3.2,2.91,1.55
1.25,0,0.174532925,3.49,3.15,1.96
1.5,0,0.174532925,3.83,3.44,2.38
1.75,0,0.174532925,4.19,3.77,2.81
2,0,0.174532925,4.59,4.13,3.24
-2,-0.25,0.174532925,3.71,4.36,-2.61
-1.75,-0.25,0.174532925,3.45,4.07,-2.29
-1.5,-0.25,0.174532925,3.2,3.79,-1.96
-1.25,-0.25,0.174532925,2.98,3.52,-1.62
-1,-0.25,0.174532925,2.8,3.27,-1.28
-0.75,-0.25,0.174532925,2.65,3.04,-0.93
-0.5,-0.25,0.174532925,2.56,2.85,-0.57
-0.25,-0.25,0.174532925,2.52,2.69,-0.21
0,-0.25,0.174532925,2.56,2.59,0.16
0.25,-0.25,0.174532925,2.66,2.55,0.54
0.5,-0.25,0.174532925,2.82,2.57,0.93
0.75,-0.25,0.174532925,3.05,2.67,1.32
1,-0.25,0.174532925,3.32,2.83,1.73
1.25,-0.25,0.174532925,3.63,3.05,2.14
1.5,-0.25,0.174532925,3.98,3.32,2.56
1.75,-0.25,0.174532925,4.36,3.63,2.99
2,-0.25,0.174532925,4.76,3.98,3.43
-2,-0.5,0.174532925,3.59,4.49,-2.47
-1.75,-0.5,0.174532925,3.34,4.19,-2.14
-1.5,-0.5,0.174532925,3.1,3.91,-1.81
-1.25,-0.5,0.174532925,2.9,3.64,-1.47
-1,-0.5,0.174532925,2.73,3.38,-1.13
-0.75,-0.5,0.174532925,2.6,3.14,-0.77
-0.5,-0.5,0.174532925,2.53,2.93,-0.41
-0.25,-0.5,0.174532925,2.53,2.75,-0.05
0,-0.5,0.174532925,2.59,2.62,0.33
0.25,-0.5,0.174532925,2.72,2.56,0.71
0.5,-0.5,0.174532925,2.91,2.55,1.1
0.75,-0.5,0.174532925,3.16,2.62,1.49
1,-0.5,0.174532925,3.45,2.75,1.9
1.25,-0.5,0.174532925,3.77,2.94,2.32
1.5,-0.5,0.174532925,4.14,3.19,2.74
1.75,-0.5,0.174532925,4.52,3.49,3.17
2,-0.5,0.174532925,4.94,3.83,3.62
-2,-0.75,0.174532925,3.48,4.62,-2.33
-1.75,-0.75,0.174532925,3.23,4.32,-2
-1.5,-0.75,0.174532925,3.01,4.03,-1.66
-1.25,-0.75,0.174532925,2.82,3.75,-1.32
-1,-0.75,0.174532925,2.67,3.49,-0.97
-0.75,-0.75,0.174532925,2.56,3.24,-0.62
-0.5,-0.75,0.174532925,2.52,3.01,-0.26
-0.25,-0.75,0.174532925,2.55,2.82,0.11
0,-0.75,0.174532925,2.64,2.67,0.49
0.25,-0.75,0.174532925,2.8,2.58,0.87
0.5,-0.75,0.174532925,3.01,2.54,1.27
0.75,-0.75,0.174532925,3.28,2.58,1.67
1,-0.75,0.174532925,3.58,2.68,2.08
1.25,-0.75,0.174532925,3.93,2.85,2.5
1.5,-0.75,0.174532925,4.3,3.08,2.92
1.75,-0.75,0.174532925,4.7,3.36,3.36
2,-0.75,0.174532925,5.12,3.68,3.81
-2,-1,0.174532925,3.37,4.74,-2.18
-1.75,-1,0.174532925,3.13,4.45,-1.85
-1.5,-1,0.174532925,2.92,4.16,-1.51
-1.25,-1,0.174532925,2.75,3.87,-1.17
-1,-1,0.174532925,2.62,3.6,-0.82
-0.75,-1,0.174532925,2.54,3.34,-0.46
-0.5,-1,0.174532925,2.53,3.11,-0.1
-0.25,-1,0.174532925,2.58,2.9,0.27
0,-1,0.174532925,2.7,2.73,0.65
0.25,-1,0.174532925,2.88,2.61,1.04
0.5,-1,0.174532925,3.12,2.55,1.44
0.75,-1,0.174532925,3.4,2.56,1.84
1,-1,0.174532925,3.73,2.63,2.26
1.25,-1,0.174532925,4.08,2.77,2.68
1.5,-1,0.174532925,4.46,2.98,3.11
1.75,-1,0.174532925,4.87,3.24,3.55
2,-1,0.174532925,5.3,3.54,4
-2,-1.25,0.174532925,3.26,4.87,-2.04
-1.75,-1.25,0.174532925,3.04,4.58,-1.71
-1.5,-1.25,0.174532925,2.84,4.28,-1.37
-1.25,-1.25,0.174532925,2.68,3.99,-1.02
-1,-1.25,0.174532925,2.57,3.72,-0.66
-0.75,-1.25,0.174532925,2.53,3.45,-0.3
-0.5,-1.25,0.174532925,2.54,3.21,0.06
-0.25,-1.25,0.174532925,2.62,2.98,0.44
0,-1.25,0.174532925,2.77,2.8,0.82
0.25,-1.25,0.174532925,2.98,2.66,1.21
0.5,-1.25,0.174532925,3.24,2.57,1.61
0.75,-1.25,0.174532925,3.54,2.55,2.02
1,-1.25,0.174532925,3.87,2.59,2.44
1.25,-1.25,0.174532925,4.24,2.71,2.86
1.5,-1.25,0.174532925,4.64,2.88,3.3
1.75,-1.25,0.174532925,5.05,3.12,3.74
2,-1.25,0.174532925,5.49,3.41,4.2
-2,-1.5,0.174532925,3.16,5,-1.89
-1.75,-1.5,0.174532925,2.95,4.7,-1.56
-1.5,-1.5,0.174532925,2.77,4.41,-1.21
-1.25,-1.5,0.174532925,2.63,4.12,-0.86
-1,-1.5,0.174532925,2.55,3.83,-0.51
-0.75,-1.5,0.174532925,2.52,3.56,-0.14
-0.5,-1.5,0.174532925,2.57,3.31,0.23
-0.25,-1.5,0.174532925,2.68,3.08,0.6
0,-1.5,0.174532925,2.85,2.87,0.99
0.25,-1.5,0.174532925,3.08,2.71,1.38
0.5,-1.5,0.174532925,3.36,2.6,1.79
0.75,-1.5,0.174532925,3.68,2.55,2.2
1,-1.5,0.174532925,4.03,2.56,2.62
1.25,-1.5,0.174532925,4.41,2.65,3.05
1.5,-1.5,0.174532925,4.81,2.8,3.48
1.75,-1.5,0.174532925,5.24,3.01,3.93
2,-1.5,0.174532925,5.68,3.28,4.39
-2,-1.75,0.174532925,3.06,5.13,-1.75
-1.75,-1.75,0.174532925,2.86,4.83,-1.41
-1.5,-1.75,0.174532925,2.7,4.54,-1.06
-1.25,-1.75,0.174532925,2.59,4.24,-0.71
-1,-1.75,0.174532925,2.53,3.96,-0.35
-0.75,-1.75,0.174532925,2.53,3.68,0.02
-0.5,-1.75,0.174532925,2.61,3.42,0.39
-0.25,-1.75,0.174532925,2.75,3.17,0.77
0,-1.75,0.174532925,2.95,2.96,1.16
0.25,-1.75,0.174532925,3.2,2.78,1.56
0.5,-1.75,0.174532925,3.49,2.64,1.96
0.75,-1.75,0.174532925,3.82,2.56,2.38
1,-1.75,0.174532925,4.19,2.55,2.8
1.25,-1.75,0.174532925,4.58,2.6,3.23
1.5,-1.75,0.174532925,4.99,2.73,3.67
1.75,-1.75,0.174532925,5.42,2.92,4.13
2,-1.75,0.174532925,5.88,3.16,4.59
-2,-2,0.174532925,2.97,5.26,-1.6
-1.75,-2,0.174532925,2.79,4.96,-1.26
-1.5,-2,0.174532925,2.64,4.66,-0.91
-1.25,-2,0.174532925,2.55,4.37,-0.55
-1,-2,0.174532925,2.52,4.08,-0.19
-0.75,-2,0.174532925,2.56,3.8,0.18
-0.5,-2,0.174532925,2.66,3.53,0.55
-0.25,-2,0.174532925,2.83,3.27,0.94
0,-2,0.174532925,3.05,3.05,1.33
0.25,-2,0.174532925,3.32,2.85,1.73
0.5,-2,0.174532925,3.63,2.69,2.14
0.75,-2,0.174532925,3.98,2.59,2.56
1,-2,0.174532925,4.35,2.55,2.98
